Lizard,Mass,SVL,HLS,Genero
1,5.526,59,113.5,f
2,10.401,75,142,m
3,9.213,69,124,f
4,8.953,67.5,125,f
5,7.063,62,129.5,m
6,6.61,62,123,f
7,11.273,74,140,m
8,2.247,47,97,f
9,15.493,86.5,162,m
10,9.004,69,126,f
11,8.199,70.5,136,m
12,6.601,64.5,116,f
13,7.622,67.5,135,m
14,10.067,73,136.5,m
15,10.091,73,135.5,m
16,10.888,77,139,m
17,7.6101,61.5,118,f
18,7.733,66.5,133.5,m
19,12.015,79.5,150,m
20,10.049,74,137,m
21,5.149,59.5,116,f
22,9.158,68,123,f
23,12.132,75,141,m
24,6.978,66.5,117,f
25,6.89,63,117,f
